genus,strain,Ct.SYBR,gene copies in 1ÂµL template,total gene copies,total cell numbers,gene copies per cell,ESD (_m),isolate average,average genus,ESD_isolate,ESD_genus
Florenciella,UA-265-01,21.01,1.49E+05,1.86E+07,9.31E+06,2,3.8,2.4,1.5,3.8,3.6
Florenciella,UA-265-01,20.21,2.66E+05,3.32E+07,9.31E+06,3.6,3.8,,,,
Florenciella,UA-265-01,21.44,1.09E+05,3.93E+07,1.81E+07,2.2,3.8,,,,
Florenciella,UA-265-01,21.82,8.30E+04,2.99E+07,1.81E+07,1.6,3.8,,,,
Florenciella,UA-265-01,20.89,1.63E+05,5.85E+07,1.81E+07,3.2,3.8,,,,
Florenciella,UA-265-01,21.57,9.95E+04,3.58E+07,1.81E+07,2,3.8,,,,
Florenciella,AL-45-004C,22.3,5.87E+04,8.80E+06,1.03E+07,0.9,3.7,0.8,,3.5,
Florenciella,AL-45-004C,22.87,3.89E+04,5.83E+06,1.03E+07,0.6,3.7,,,,
Florenciella,AL-45-004C,21.98,7.40E+04,1.11E+07,1.03E+07,1.1,3.7,,,,
Florenciella,PX-310-75-05,20.91,1.60E+05,1.28E+07,7.28E+06,1.8,3.6,1.7,,3.6,
Florenciella,PX-310-75-05,21,1.50E+05,1.20E+07,7.28E+06,1.6,3.6,,,,
Florenciella,PX-310-75-05,20.8,1.74E+05,1.39E+07,7.28E+06,1.9,3.6,,,,
Florenciella,PX-310-100-05,22.14,6.59E+04,1.84E+07,2.00E+07,0.9,3.5,1,,3.5,
Florenciella,PX-310-100-05,22.07,6.93E+04,1.94E+07,2.00E+07,1,3.5,,,,
Florenciella,PX-310-100-05,22.02,7.18E+04,2.01E+07,2.00E+07,1,3.5,,,,
Rhizochromulina,PX-311-75-01,19.25,2.39E+05,1.44E+07,5.08E+06,2.8,3,2.7,1.3,3,3.1
Rhizochromulina,PX-311-75-01,19,2.85E+05,1.71E+07,5.08E+06,3.4,3,,,,
Rhizochromulina,PX-311-75-01,19.9,1.53E+05,9.17E+06,5.08E+06,1.8,3,,,,
Rhizochromulina,PX-311-75-01,19.34,2.25E+05,1.35E+07,5.08E+06,2.7,3,,,,
Rhizochromulina,PX-311-75-04,22.66,2.27E+04,1.13E+06,2.26E+06,0.5,3.1,0.6,,3.1,
Rhizochromulina,PX-311-75-04,22.07,3.41E+04,1.71E+06,2.26E+06,0.8,3.1,,,,
Rhizochromulina,PX-311-75-05,19.81,1.63E+05,9.76E+06,1.26E+07,0.8,3.2,0.7,,3.2,
Rhizochromulina,PX-311-75-05,20.44,1.05E+05,6.31E+06,1.26E+07,0.5,3.2,,,,
DictyX,UA-269-03 ,20.87,1.79E+05,1.08E+07,3.85E+06,2.8,5.3,4.1,4.6,5.3,4.6
DictyX,UA-269-03 ,20.01,3.19E+05,1.92E+07,3.85E+06,5,5.3,,,,
DictyX,UA-269-03 ,20.11,2.99E+05,1.79E+07,3.85E+06,4.6,5.3,,,,
DictyX,PX-310-25-02,20.88,1.78E+05,8.91E+06,1.28E+06,7,4.6,5.3,,4.6,
DictyX,PX-310-25-02,21.74,1.00E+05,5.01E+06,1.28E+06,3.9,4.6,,,,
DictyX,PX-310-25-02,21.41,1.25E+05,6.25E+06,1.28E+06,4.9,4.6,,,,
DictyX,PX-310-25-03#1,21.03,1.61E+05,8.06E+06,2.03E+06,4,4,4.4,,4,
DictyX,PX-310-25-03#1,20.8,1.88E+05,9.40E+06,2.03E+06,4.6,4,,,,
DictyX,PX-310-25-03#1,20.88,1.78E+05,8.91E+06,2.03E+06,4.4,4,,,,
DictyX,PX-310-25-03#1,21.23,1.41E+05,7.05E+06,2.03E+06,3.5,4,,,,
Chrysochromulina,NF-H275-5m<3,20.75,1.82E+05,9.08E+07,3.80E+07,2.4,3.8,2.1,2.1,3.8,3.8
Chrysochromulina,NF-H275-5m<3,21.15,1.39E+05,6.94E+07,3.80E+07,1.8,3.8,,,,
Chrysochromulina,NF-H275-5m<3,21.12,1.42E+05,7.08E+07,3.80E+07,1.9,3.8,,,,
Chrysochromulina,NF-H275-5m<3,20.81,1.74E+05,8.72E+07,3.80E+07,2.3,3.8,,,,
Chrysochromulina,NF-H275-5m<3,20.85,1.70E+05,8.49E+07,3.80E+07,2.2,3.8,,,,
Hap2,PX-310-25-06#1,23.3,1.05E+05,5.26E+06,2.37E+06,2.2,4.5,3.2,3.2,4.5,4.5
Hap2,PX-310-25-06#1,23.06,1.24E+05,6.20E+06,2.37E+06,2.6,4.5,,,,
Hap2,PX-310-25-06#1,22.28,2.13E+05,1.06E+07,2.37E+06,4.5,4.5,,,,
Hap2,PX-310-25-06#2,21.99,2.60E+05,1.30E+07,3.79E+06,3.4,4.5,,,,
Hap2,PX-310-25-06#2,22.14,2.34E+05,1.17E+07,3.79E+06,3.1,4.5,,,,
Hap2,PX-310-25-06#2,22.11,2.39E+05,1.20E+07,3.79E+06,3.2,4.5,,,,
ChrysoH,PX-311-25-01#1,22.58,9.80E+04,1.18E+07,1.23E+07,1,2.2,1,1,2.2,2.3
ChrysoH,PX-311-25-01#1,22.19,1.28E+05,1.54E+07,1.23E+07,1.2,2.2,,,,
ChrysoH,PX-311-25-01#1,22.66,9.27E+04,1.11E+07,1.23E+07,0.9,2.2,,,,
ChrysoH,PX-311-25-04#1,21.96,1.50E+05,7.52E+06,8.45E+06,0.9,2.4,1.2,,2.4,
ChrysoH,PX-311-25-04#1,21.68,1.82E+05,9.12E+06,8.45E+06,1.1,2.4,,,,
ChrysoH,PX-311-25-04#1,21.92,1.55E+05,7.73E+06,8.45E+06,0.9,2.4,,,,
ChrysoH,PX-311-25-04#1,22.2,1.27E+05,6.37E+06,8.45E+06,0.8,2.4,,,,
ChrysoH,PX-311-25-04#2,21.83,1.64E+05,8.22E+06,6.54E+06,1.3,2.4,,,,
ChrysoH,PX-311-25-04#2,21.67,1.84E+05,9.18E+06,6.54E+06,1.4,2.4,,,,
ChrysoH,PX-311-25-04#2,21.39,2.23E+05,1.11E+07,6.54E+06,1.7,2.4,,,,
ChrysoH,PX-311-25-04#2,21.67,1.84E+05,9.18E+06,6.54E+06,1.4,2.4,,,,
ChrysoH,PX-311-25-05#1,24.09,3.46E+04,1.73E+06,2.70E+06,0.6,2.2,0.8,,2.2,
ChrysoH,PX-311-25-05#1,24.16,3.29E+04,1.65E+06,2.70E+06,0.6,2.2,,,,
ChrysoH,PX-311-25-05#2,25.46,1.34E+04,9.39E+05,8.14E+05,1.2,2.2,,,,
Triparma,PX-311-25-07#1,28.64,2.36E+03,1.18E+06,9.73E+05,1.2,2.5,0.9,0.8,2.5,2.6
Triparma,PX-311-25-07#1,29.48,1.35E+03,6.73E+05,9.73E+05,0.7,2.5,,,,
Triparma,PX-311-25-07#1,29.55,1.29E+03,6.43E+05,9.73E+05,0.7,2.5,,,,
Triparma,PX-311-25-07#1,28.7,2.27E+03,1.13E+06,9.73E+05,1.2,2.5,,,,
Triparma,PX-311-25-07#1,28.83,2.08E+03,1.04E+06,9.73E+05,1.1,2.5,,,,
Triparma,PX-311-25-07#2,25.04,2.61E+04,3.26E+06,5.89E+06,0.6,2.5,,,,
Triparma,PX-311-25-07#3,26.69,8.66E+03,4.33E+05,1.74E+06,0.2,2.5,,,,
Triparma,PX-311-100-02,24.3,4.27E+04,5.34E+06,6.81E+06,0.8,2.6,0.7,,2.6,
Triparma,PX-311-100-02,25.14,2.44E+04,3.05E+06,6.81E+06,0.4,2.6,,,,
Triparma,PX-311-100-02,24.09,4.91E+04,6.14E+06,6.81E+06,0.9,2.6,,,,
Triparma,PX-311-100-02,24.13,4.78E+04,5.98E+06,6.81E+06,0.9,2.6,,,,
Triparma,PX-311-100-02,25.4,2.05E+04,2.56E+06,6.81E+06,0.4,2.6,,,,
